OfficeID,OfficeName,LanguageID,LanguageName,BookmarkName,Translation,OfficeElement
1,"Amsterdam",1,English (UK),bmkAOAddress,"Apollolaan 15
1077 AB  Amsterdam  The Netherlands

PO Box 75440
1070 AK  Amsterdam  The Netherlands",Address
1,"Amsterdam",10,Dutch,bmkAOAddress,"Apollolaan 15
1077 AB  Amsterdam

Postbus 75440
1070 AK  Amsterdam",Address
2,"Antwerp",1,English (UK),bmkAOAddress,"Uitbreidingstraat 80
B-2600  Antwerp  Belgium",Address
2,"Antwerp",6,German,bmkAOAddress,"Uitbreidingstraat 80
B-2600  Antwerpen",Address
2,"Antwerp",7,Dutch (Belgium),bmkAOAddress,"Uitbreidingstraat 80
B-2600  Antwerpen  België",Address
2,"Antwerp",8,French (Belgium),bmkAOAddress,"Uitbreidingstraat 80
B-2600  Anvers  Belgique",Address
3,"Beijing",1,English (UK),bmkAOAddress,"46th Floor China World Tower
No 1 Jian Guo Men Wai Avenue
Beijing 100004 China",Address
4,"Budapest",1,English (UK),bmkAOAddress,"Madách Trade Center
Madách Imre út 13-14
H-1075  Budapest  Hungary",Address
4,"Budapest",11,Hungarian,bmkAOAddress,"Madách Trade Center
Madách Imre út 13-14
H-1075  Budapest  Hungary",Address
5,"Bratislava",1,English (UK),bmkAOAddress,"Eurovea Central 1
Pribinova 4
811 09  Bratislava
Slovak Republic",Address
5,"Bratislava",3,Slovak,bmkAOAddress,"Eurovea Central 1
Pribinova 4
811 09  Bratislava
Slovenská republika",Address
6,"Brussels",1,English (UK),bmkAOAddress,"Avenue de Tervueren 268 A
B-1150  Brussels",Address
6,"Brussels",6,German,bmkAOAddress,"Avenue de Tervueren 268 A
B-1150  Brüssel",Address
6,"Brussels",7,Dutch (Belgium),bmkAOAddress,"Tervurenlaan 268 A
B-1150  Brussel  België",Address
6,"Brussels",8,French (Belgium),bmkAOAddress,"Avenue de Tervueren 268 A
B-1150  Bruxelles",Address
7,"Dubai",1,English (UK),bmkAOAddress,"Level 2, The Gate Village Building GV08
Dubai International Financial Centre
PO Box 506678
Dubai, United Arab Emirates",Address
8,"Frankfurt",1,English (UK),bmkAOAddress,"Haus am OpernTurm
Bockenheimer Landstrasse 2
60306  Frankfurt am Main
Germany

Postbox 100 123
60001  Frankfurt am Main",Address
8,"Frankfurt",6,German,bmkAOAddress,"Haus am OpernTurm
Bockenheimer Landstraße 2
60306  Frankfurt am Main

Postfach 100 123
60001  Frankfurt am Main",Address
9,"Hong Kong - Law",1,English (UK),bmkAOAddress,"9th Floor  Three Exchange Square
Central  Hong Kong",Address
10,"London",1,English (UK),bmkAOAddress,"One Bishops Square
London  E1 6AD  United Kingdom",Address
10,"London",2,French,bmkAOAddress,"One Bishops Square
Londres  E1 6AD  Royaume-Uni",Address
10,"London",4,Italian,bmkAOAddress,"One Bishops Square
Londra  E1 6AD  Regno Unito",Address
10,"London",6,German,bmkAOAddress,"One Bishops Square
London  E1 6AD  Vereinigtes Königreich",Address
12,"Luxembourg Office",1,English (UK),bmkAOAddress,"33 avenue J.F. Kennedy  L-1855  Luxembourg
PO Box 5017  L-1050  Luxembourg",Address
12,"Luxembourg Office",2,French,bmkAOAddress,"33 avenue J.F. Kennedy  L-1855  Luxembourg
Boîte postale 5017  L-1050  Luxembourg",Address
12,"Luxembourg Office",6,German,bmkAOAddress,"33 avenue J.F. Kennedy  L-1855  Luxemburg
Postfach 5017  L-1050  Luxemburg",Address
13,"Madrid",1,English (UK),bmkAOAddress,"Pedro de Valdivia 10
28006  Madrid  Spain",Address
13,"Madrid",12,Spanish,bmkAOAddress,"Pedro de Valdivia 10
28006  Madrid  España",Address
15,"Milan",1,English (UK),bmkAOAddress,"Via Manzoni 41-43
20121  Milan  Italy",Address
15,"Milan",4,Italian,bmkAOAddress,"Via Manzoni 41-43
20121  Milano  Italia",Address
16,"Moscow",1,English (UK),bmkAOAddress,"Dmitrovsky pereulok 9
107031  Moscow  Russian Federation",Address
16,"Moscow",13,Russian,bmkAOAddress,"Дмитровский переулок, дом 9
107031  Москва  Российская Федерация",Address
17,"New York",1,English (UK),bmkAOAddress,"1221 Avenue of the Americas
New York  NY  10020",Address
17,"New York",14,English (US),bmkAOAddress,"1221 Avenue of the Americas
New York  NY  10020",Address
18,"Paris",1,English (UK),bmkAOAddress,"52, Avenue Hoche
CS 90005
75379 Paris Cedex 08
France",Address
18,"Paris",2,French,bmkAOAddress,"52, Avenue Hoche
CS 90005
75379 Paris Cedex 08
France",Address
19,"Prague - Admin",1,English (UK),bmkAOAddress,"V Celnici 1031/4
110 00  Prague 1  Czech Republic",Address
19,"Prague - Admin",9,Czech,bmkAOAddress,"V Celnici 1031/4
110 00  Praha 1  Česká republika",Address
20,"Prague - Law",1,English (UK),bmkAOAddress,"V Celnici 1031/4
110 00  Prague 1  Czech Republic",Address
20,"Prague - Law",9,Czech,bmkAOAddress,"V Celnici 1031/4
110 00  Praha 1  Česká republika",Address
21,"Shanghai",1,English (UK),bmkAOAddress,"15th Floor Phase II Shanghai IFC
8 Century Avenue  Pudong
Shanghai  200120  China",Address
23,"Tokyo",1,English (UK),bmkAOAddress,"38F Roppongi Hills Mori Tower
6-10-1, Roppongi
Minato-ku, Tokyo 106-6138
〒106-6138
東京都港区六本木６－１０－１
六本木ヒルズ森タワー38階",Address
25,"Hong Kong - Admin",1,English (UK),bmkAOAddress,"9th Floor  Three Exchange Square
Central  Hong Kong",Address
26,"Warsaw - Admin",1,English (UK),bmkAOAddress,"Rondo ONZ 1
00-124  Warsaw  Poland",Address
26,"Warsaw - Admin",5,Polish,bmkAOAddress,"Rondo ONZ 1
00-124  Warszawa  Polska",Address
27,"Warsaw - Law",1,English (UK),bmkAOAddress,"Rondo ONZ 1
00-124  Warsaw  Poland",Address
27,"Warsaw - Law",5,Polish,bmkAOAddress,"Rondo ONZ 1
00-124  Warszawa  Polska",Address
28,"Hamburg",1,English (UK),bmkAOAddress,"Hanseatic Trade Center
Kehrwieder 12 
20457  Hamburg
Germany

Postbox 112 393
20423 Hamburg",Address
28,"Hamburg",6,German,bmkAOAddress,"Hanseatic Trade Center
Kehrwieder 12 
20457  Hamburg

Postfach 112 393
20423 Hamburg",Address
29,"Rome",1,English (UK),bmkAOAddress,"Corso Vittorio Emanuele II  284
00186  Rome  Italy",Address
29,"Rome",4,Italian,bmkAOAddress,"Corso Vittorio Emanuele II  284
00186  Roma  Italia",Address
30,"Bangkok",1,English (UK),bmkAOAddress,"22nd Floor Sindhorn Tower lll
130-132 Wireless Road  Lumpini 
Pathumwan  Bangkok  10330  Thailand",Address
33,"Singapore - ASSPL",1,English (UK),bmkAOAddress,"50 Collyer Quay
#09-01 OUE Bayfront
Singapore 049321",Address
34,"Düsseldorf",1,English (UK),bmkAOAddress,"Rheinisches Palais
Breite Strasse 27  40213  Düsseldorf
Germany",Address
34,"Düsseldorf",6,German,bmkAOAddress,"Rheinisches Palais
Breite Straße 27  40213  Düsseldorf",Address
35,"Riyadh",1,English (UK),bmkAOAddress,"PO Box 89402, Riyadh 11623 
Kingdom of Saudi Arabia 
4th floor, Al-Mada Centre, Bldg No 823, 
Olaya, King Fahad Road, Riyadh 
Kingdom of Saudi Arabia",Address
36,"Abu Dhabi",1,English (UK),bmkAOAddress,"5th Floor, Al Mamoura Building B
Muroor Road 
PO Box 7907
Abu Dhabi
United Arab Emirates",Address
38,"Munich",1,English (UK),bmkAOAddress,"Maximilianstrasse 35
80539 Munich
Germany",Address
38,"Munich",6,German,bmkAOAddress,"Maximilianstraße 35
80539  München",Address
40,"Doha",1,English (UK),bmkAOAddress,"23rd Floor, Tornado Tower 
Al Funduq Street
West Bay 
PO Box 24205
Doha, Qatar",Address
42,"Athens",1,English (UK),bmkAOAddress,"2 Navarhou Nikodimou
105 57 Athens
Greece",Address
42,"Athens",16,Greek,bmkAOAddress,"Ναυάρχου Νικοδήμου 2
105 57 Αθήνα
Ελλάδα",Address
43,"São Paulo",1,English (UK),bmkAOAddress,"Rua das Olimpíadas 
nr. 100 - 10º Andar
Vila Olímpia
CEP 04551-000 São Paulo - SP
Brazil",Address
43,"São Paulo",17,Portuguese (Brazil),bmkAOAddress,"Rua das Olimpíadas 
nr. 100 - 10º Andar
Vila Olímpia
CEP 04551-000 São Paulo - SP
Brazil",Address
45,"Sydney - Admin",1,English (UK),bmkAOAddress,"Level 25
85 Castlereagh Street
Sydney NSW 2000
Australia

PO Box A2498
Sydney South NSW 1235 
Australia",Address
45,"Sydney - Admin",15,English (AUS),bmkAOAddress,"Level 25
85 Castlereagh Street
Sydney NSW 2000
Australia

PO Box A2498
Sydney South NSW 1235 
Australia",Address
46,"Perth - Admin",1,English (UK),bmkAOAddress,"Level 27, Exchange Plaza
2 The Esplanade
Perth WA 6000
Australia

GPO Box 2508
St Georges Terrace
Perth WA 6831",Address
46,"Perth - Admin",15,English (AUS),bmkAOAddress,"Level 27, Exchange Plaza
2 The Esplanade
Perth WA 6000
Australia

GPO Box 2508
St Georges Terrace
Perth WA 6831",Address
47,"Sydney - Law",1,English (UK),bmkAOAddress,"Level 25
85 Castlereagh Street
Sydney NSW 2000
Australia

PO Box A2498
Sydney South NSW 1235 
Australia",Address
47,"Sydney - Law",15,English (AUS),bmkAOAddress,"Level 25
85 Castlereagh Street
Sydney NSW 2000
Australia

PO Box A2498
Sydney South NSW 1235 
Australia",Address
48,"Perth - Law",1,English (UK),bmkAOAddress,"Level 27, Exchange Plaza
2 The Esplanade
Perth WA 6000
Australia

GPO Box 2508
St Georges Terrace
Perth WA 6831",Address
