LanguageID,LanguageName,PicklistName,Translation,Name
1,English (UK),Delivery,"BY COURIER",Delivery
1,English (UK),Delivery,"BY FAX",Delivery
1,English (UK),Delivery,"BY FAX & BY POST",Delivery
1,English (UK),Delivery,"BY REGISTERED AIR MAIL",Delivery
1,English (UK),Delivery,"DRAFT",Delivery
1,English (UK),Delivery,"PERSONAL",Delivery
1,English (UK),Delivery,"STRICTLY PRIVATE & CONFIDENTIAL",Delivery
1,English (UK),Delivery,"SUBJECT TO CONTRACT",Delivery
1,English (UK),Delivery,"TO BE OPENED BY ADDRESSEE ONLY",Delivery
1,English (UK),Delivery,"URGENT",Delivery
1,English (UK),Delivery,"WITHOUT PREJUDICE",Delivery
2,French,Delivery,"EN RECOMMANDÉ",Delivery
2,French,Delivery,"EN RECOMMANDÉ AVEC ACCUSÉ DE RÉCEPTION",Delivery
2,French,Delivery,"MERCI DE CONTACTER LE DESTINATAIRE DE CETTE TÉLÉCOPIE DÈS RÉCEPTION",Delivery
2,French,Delivery,"MERCI DE TRANSMETTRE À TOUS LES DESTINATAIRES DE CETTE TÉLÉCOPIE",Delivery
2,French,Delivery,"PAR COURSIER",Delivery
2,French,Delivery,"PAR TÉLÉCOPIE",Delivery
2,French,Delivery,"PAR TÉLÉCOPIE ET PAR COURRIER",Delivery
2,French,Delivery,"PERSONNEL",Delivery
2,French,Delivery,"PROJET",Delivery
2,French,Delivery,"STRICTEMENT CONFIDENTIEL",Delivery
2,French,Delivery,"URGENT",Delivery
3,Slovak,Delivery,"DO VLASTNÝCH RÚK",Delivery
3,Slovak,Delivery,"DOPORUČENOU LETECKOU POŠTOU",Delivery
3,Slovak,Delivery,"FAXOM",Delivery
3,Slovak,Delivery,"FAXOM A POŠTOU",Delivery
3,Slovak,Delivery,"KONCEPT",Delivery
3,Slovak,Delivery,"KURIÉROM",Delivery
3,Slovak,Delivery,"NA ZÁKLADE ZMLUVY",Delivery
3,Slovak,Delivery,"OBJEKTÍVNE",Delivery
3,Slovak,Delivery,"OSOBNÉ",Delivery
3,Slovak,Delivery,"PRÍSNE SÚKROMNÉ A DÔVERNÉ",Delivery
3,Slovak,Delivery,"SÚRNE",Delivery
4,Italian,Delivery,"ANTICIPATO VIA FAX - ORIGINALE SEGUIRÀ A MEZZO POSTA",Delivery
4,Italian,Delivery,"BOZZA",Delivery
4,Italian,Delivery,"PER LETTERA RACCOMANDATA",Delivery
4,Italian,Delivery,"PERSONALE",Delivery
4,Italian,Delivery,"PERSONALE - RISERVATO",Delivery
4,Italian,Delivery,"RACCOMANDATA A.R.",Delivery
4,Italian,Delivery,"RISERVATO AL COLLEGA",Delivery
4,Italian,Delivery,"S.P.M.",Delivery
4,Italian,Delivery,"URGENTE",Delivery
4,Italian,Delivery,"VIA CORRIERE",Delivery
4,Italian,Delivery,"VIA FAX",Delivery
5,Polish,Delivery,"BEZ OGRANICZEŃ",Delivery
5,Polish,Delivery,"DOTYCZY TRANSAKCJI",Delivery
5,Polish,Delivery,"FAKSEM",Delivery
5,Polish,Delivery,"FAKSEM I POCZTĄ",Delivery
5,Polish,Delivery,"KURIEREM",Delivery
5,Polish,Delivery,"LISTEM POLECONYM",Delivery
5,Polish,Delivery,"PILNE",Delivery
5,Polish,Delivery,"POUFNE",Delivery
5,Polish,Delivery,"PROJEKT",Delivery
5,Polish,Delivery,"PRYWATNE",Delivery
5,Polish,Delivery,"WYŁĄCZNIE DO WIADOMOŚCI ADRESATA",Delivery
6,German,Delivery,"DRINGEND",Delivery
6,German,Delivery,"EINSCHREIBEN",Delivery
6,German,Delivery,"ENTWURF",Delivery
6,German,Delivery,"NUR VOM EMPFÄNGER ZU ÖFFNEN",Delivery
6,German,Delivery,"PER FAX",Delivery
6,German,Delivery,"PER FAX UND POST",Delivery
6,German,Delivery,"PER KURIER",Delivery
6,German,Delivery,"PERSÖNLICH",Delivery
6,German,Delivery,"STRENG VERTRAULICH",Delivery
6,German,Delivery,"UNTER VORBEHALT",Delivery
6,German,Delivery,"UNVERBINDLICH",Delivery
7,Dutch (Belgium),Delivery,"CONFIDENTIEL",Delivery
7,Dutch (Belgium),Delivery,"DRAFT",Delivery
7,Dutch (Belgium),Delivery,"ENKEL TE OPENEN DOOR DE GEADRESSEERDE",Delivery
7,Dutch (Belgium),Delivery,"HOOGDRINGEND",Delivery
7,Dutch (Belgium),Delivery,"ONDER CONTRACT",Delivery
7,Dutch (Belgium),Delivery,"PER AANGETEKEND SCHRIJVEN",Delivery
7,Dutch (Belgium),Delivery,"PER FAX",Delivery
7,Dutch (Belgium),Delivery,"PER FAX EN POST",Delivery
7,Dutch (Belgium),Delivery,"PER KOERIER",Delivery
7,Dutch (Belgium),Delivery,"PERSOONLIJK",Delivery
7,Dutch (Belgium),Delivery,"VERTROUWELIJK",Delivery
8,French (Belgium),Delivery,"A OUVRIR UNIQUEMENT PAR LE DESTINATAIRE",Delivery
8,French (Belgium),Delivery,"CONFIDENTIEL",Delivery
8,French (Belgium),Delivery,"EN RECOMMANDÉ",Delivery
8,French (Belgium),Delivery,"PAR COURSIER",Delivery
8,French (Belgium),Delivery,"PAR TÉLÉCOPIE",Delivery
8,French (Belgium),Delivery,"PAR TÉLÉCOPIE ET PAR COURRIER",Delivery
8,French (Belgium),Delivery,"PERSONNEL",Delivery
8,French (Belgium),Delivery,"PROJET",Delivery
8,French (Belgium),Delivery,"SOUS-RÉSERVE DE CONTRAT",Delivery
8,French (Belgium),Delivery,"STRICTEMENT CONFIDENTIEL",Delivery
8,French (Belgium),Delivery,"URGENT",Delivery
9,Czech,Delivery,"ANIŽ BY TÍM BYLO DOTČENO",Delivery
9,Czech,Delivery,"DO VLASTNÍCH RUKOU",Delivery
9,Czech,Delivery,"DOPORUČENĚ LETECKY",Delivery
9,Czech,Delivery,"FAXEM",Delivery
9,Czech,Delivery,"FAXEM A POŠTOU",Delivery
9,Czech,Delivery,"KURÝREM",Delivery
9,Czech,Delivery,"NÁVRH",Delivery
9,Czech,Delivery,"OSOBNÍ",Delivery
9,Czech,Delivery,"PŘÍSNĚ DŮVĚRNÉ",Delivery
9,Czech,Delivery,"URGENTNÍ",Delivery
9,Czech,Delivery,"V SOULADU S PODMÍNKAMI SMLOUVY",Delivery
10,Dutch,Delivery,"AANTEKENEN",Delivery
10,Dutch,Delivery,"AANTEKENEN (M.H.R.)",Delivery
10,Dutch,Delivery,"CONCEPT",Delivery
10,Dutch,Delivery,"PER FAX",Delivery
10,Dutch,Delivery,"PER KOERIER",Delivery
10,Dutch,Delivery,"PER LUCHTPOST",Delivery
10,Dutch,Delivery,"PER POST & PER FAX",Delivery
10,Dutch,Delivery,"PRIVÉ",Delivery
10,Dutch,Delivery,"STRIKT PERSOONLIJK",Delivery
10,Dutch,Delivery,"URGENT",Delivery
11,Hungarian,Delivery,"AJÁNLOTT LÉGIPOSTA ÚTJÁN",Delivery
11,Hungarian,Delivery,"FUTÁRPOSTA ÚTJÁN",Delivery
